# requested_x_cm 32
# actual_x_cm 32
# y_cm z_cm dose
-0.5 -0.5 0.0205943
-0.375 -0.5 0.0322734
-0.25 -0.5 0.0457263
-0.125 -0.5 0.0572721
0 -0.5 0.0617164
0.125 -0.5 0.0572721
0.25 -0.5 0.0457263
0.375 -0.5 0.0322734
0.5 -0.5 0.0205943

-0.5 -0.375 0.0322734
-0.375 -0.375 0.0505918
-0.25 -0.375 0.0716921
-0.125 -0.375 0.0898015
0 -0.375 0.0967733
0.125 -0.375 0.0898015
0.25 -0.375 0.0716921
0.375 -0.375 0.0505918
0.5 -0.375 0.0322734

-0.5 -0.25 0.0457263
-0.375 -0.25 0.0716921
-0.25 -0.25 0.101602
-0.125 -0.25 0.127273
0 -0.25 0.137157
0.125 -0.25 0.127273
0.25 -0.25 0.101602
0.375 -0.25 0.0716921
0.5 -0.25 0.0457263

-0.5 -0.125 0.0572721
-0.375 -0.125 0.0898015
-0.25 -0.125 0.127273
-0.125 -0.125 0.159433
0 -0.125 0.171815
0.125 -0.125 0.159433
0.25 -0.125 0.127273
0.375 -0.125 0.0898015
0.5 -0.125 0.0572721

-0.5 0 0.0617164
-0.375 0 0.0967733
-0.25 0 0.137157
-0.125 0 0.171815
0 0 0.18516
0.125 0 0.171815
0.25 0 0.137157
0.375 0 0.0967733
0.5 0 0.0617164

-0.5 0.125 0.0572721
-0.375 0.125 0.0898015
-0.25 0.125 0.127273
-0.125 0.125 0.159433
0 0.125 0.171815
0.125 0.125 0.159433
0.25 0.125 0.127273
0.375 0.125 0.0898015
0.5 0.125 0.0572721

-0.5 0.25 0.0457263
-0.375 0.25 0.0716921
-0.25 0.25 0.101602
-0.125 0.25 0.127273
0 0.25 0.137157
0.125 0.25 0.127273
0.25 0.25 0.101602
0.375 0.25 0.0716921
0.5 0.25 0.0457263

-0.5 0.375 0.0322734
-0.375 0.375 0.0505918
-0.25 0.375 0.0716921
-0.125 0.375 0.0898015
0 0.375 0.0967733
0.125 0.375 0.0898015
0.25 0.375 0.0716921
0.375 0.375 0.0505918
0.5 0.375 0.0322734

-0.5 0.5 0.0205943
-0.375 0.5 0.0322734
-0.25 0.5 0.0457263
-0.125 0.5 0.0572721
0 0.5 0.0617164
0.125 0.5 0.0572721
0.25 0.5 0.0457263
0.375 0.5 0.0322734
0.5 0.5 0.0205943

