axis,label,nx,ny,nz,nmu,nom,entrance,dmax,norm0,bp,p90,d90,d20,norm_l2_vs_baseline,norm_linf_vs_baseline
baseline,base,500,8,8,7,7,4.132232701057638,22.36265209722724,0.18478276561705292,32.56,32.32445054645875,32.81334461326267,33.273536400925394,0.0,0.0
depth,nx1000,1000,8,8,7,7,4.130408508996528,22.818369532632424,0.18101242961683364,32.56,32.317646021173374,32.74771380212838,33.21654250900782,0.04992525324830389,0.11844435996411279
transverse,yz12,500,12,12,7,7,4.132232701057634,22.29865542630781,0.18531308825833745,32.56,32.324622116577984,32.81341931372103,33.27356357892929,0.001668955366336169,0.0006838788938393903
angular,uv9,500,8,8,9,9,4.132232701057636,22.389989758108506,0.1845571501238027,32.56,32.320693611619916,32.81037764747665,33.270274579915835,0.004047940568893313,0.005484272157513348
