# step x_cm g psi1_integral psi2_integral
1 0.005 0 -9.32381e-43 -2.12714e-42
1 0.005 1 1.93377e-41 5.13064e-41
1 0.005 2 -7.81934e-40 -2.19205e-39
1 0.005 3 4.55158e-38 1.30047e-37
1 0.005 4 -3.38347e-36 -9.76433e-36
1 0.005 5 3.02364e-34 8.78045e-34
1 0.005 6 -3.12878e-32 -9.12467e-32
1 0.005 7 3.65268e-30 1.06857e-29
1 0.005 8 -4.71832e-28 -1.38356e-27
1 0.005 9 6.63981e-26 1.95055e-25
1 0.005 10 -1.00455e-23 -2.95523e-23
1 0.005 11 1.61424e-21 4.75413e-21
1 0.005 12 -2.72179e-19 -8.02277e-19
1 0.005 13 4.74948e-17 1.40076e-16
1 0.005 14 -8.42241e-15 -2.48463e-14
1 0.005 15 1.47429e-12 4.34813e-12
1 0.005 16 -2.39887e-10 -7.06564e-10
1 0.005 17 3.00519e-08 8.80221e-08
1 0.005 18 5.23639e-06 1.89143e-06
1 0.005 19 9.19917e-05 -1.90194e-06
1 0.005 20 4.12573e-15 -8.22622e-17
1 0.005 21 4.11225e-37 -7.92285e-39
1 0.005 22 9.10928e-71 -1.69889e-72
1 0.005 23 4.48454e-116 -8.10929e-118
1 0.005 24 4.9066e-173 -8.61549e-175
1 0.005 25 1.19309e-241 -2.03706e-243
1 0.005 26 6.42285e-322 -9.88131e-324
1 0.005 27 0 0
1 0.005 28 0 0
1 0.005 29 0 0
1 0.005 30 0 0
1 0.005 31 0 0
1 0.005 32 0 0
1 0.005 33 0 0
1 0.005 34 0 0
1 0.005 35 0 0
1 0.005 36 0 0
1 0.005 37 0 0
1 0.005 38 0 0
1 0.005 39 0 0
1 0.005 40 0 0
1 0.005 41 0 0
1 0.005 42 0 0
1 0.005 43 0 0
1 0.005 44 0 0
1 0.005 45 0 0
1 0.005 46 0 0
1 0.005 47 0 0
1 0.005 48 0 0
1 0.005 49 0 0
2 0.01 0 -1.88306e-40 -4.18102e-40
2 0.01 1 3.52514e-39 9.22098e-39
2 0.01 2 -1.2691e-37 -3.5272e-37
2 0.01 3 6.51909e-36 1.8502e-35
2 0.01 4 -4.2356e-34 -1.21536e-33
2 0.01 5 3.27344e-32 9.4565e-32
2 0.01 6 -2.89439e-30 -8.39971e-30
2 0.01 7 2.8476e-28 8.29069e-28
2 0.01 8 -3.04978e-26 -8.90023e-26
2 0.01 9 3.48978e-24 1.02016e-23
2 0.01 10 -4.19255e-22 -1.22704e-21
2 0.01 11 5.19434e-20 1.52131e-19
2 0.01 12 -6.50335e-18 -1.90508e-17
2 0.01 13 8.02066e-16 2.3486e-15
2 0.01 14 -9.40313e-14 -2.74979e-13
2 0.01 15 9.91869e-12 2.89206e-11
2 0.01 16 -8.58423e-10 -2.487e-09
2 0.01 17 5.12716e-08 1.4616e-07
2 0.01 18 5.89737e-06 3.75291e-06
2 0.01 19 9.13102e-05 -3.74971e-06
2 0.01 20 4.09635e-15 -1.62269e-16
2 0.01 21 4.08404e-37 -1.56362e-38
2 0.01 22 9.04896e-71 -3.35434e-72
2 0.01 23 4.45582e-116 -1.60178e-117
2 0.01 24 4.87615e-173 -1.70241e-174
2 0.01 25 1.18591e-241 -4.02663e-243
2 0.01 26 6.42285e-322 -1.97626e-323
2 0.01 27 0 0
2 0.01 28 0 0
2 0.01 29 0 0
2 0.01 30 0 0
2 0.01 31 0 0
2 0.01 32 0 0
2 0.01 33 0 0
2 0.01 34 0 0
2 0.01 35 0 0
2 0.01 36 0 0
2 0.01 37 0 0
2 0.01 38 0 0
2 0.01 39 0 0
2 0.01 40 0 0
2 0.01 41 0 0
2 0.01 42 0 0
2 0.01 43 0 0
2 0.01 44 0 0
2 0.01 45 0 0
2 0.01 46 0 0
2 0.01 47 0 0
2 0.01 48 0 0
2 0.01 49 0 0
3 0.015 0 -1.15239e-38 -2.48539e-38
3 0.015 1 1.95424e-37 5.03316e-37
3 0.015 2 -6.28195e-36 -1.72938e-35
3 0.015 3 2.85661e-34 8.0473e-34
3 0.015 4 -1.62817e-32 -4.64196e-32
3 0.015 5 1.09303e-30 3.13915e-30
3 0.015 6 -8.30355e-29 -2.39636e-28
3 0.015 7 6.93219e-27 2.00729e-26
3 0.015 8 -6.21087e-25 -1.80257e-24
3 0.015 9 5.84764e-23 1.69973e-22
3 0.015 10 -5.66926e-21 -1.64926e-20
3 0.015 11 5.53962e-19 1.61182e-18
3 0.015 12 -5.32324e-17 -1.54795e-16
3 0.015 13 4.87988e-15 1.41676e-14
3 0.015 14 -4.0982e-13 -1.18611e-12
3 0.015 15 2.97494e-11 8.56012e-11
3 0.015 16 -1.70142e-09 -4.83894e-09
3 0.015 17 6.38608e-08 1.76363e-07
3 0.015 18 6.57538e-06 5.58341e-06
3 0.015 19 9.06204e-05 -5.54429e-06
3 0.015 20 4.06663e-15 -2.4006e-16
3 0.015 21 4.05551e-37 -2.31434e-38
3 0.015 22 8.98797e-71 -4.96706e-72
3 0.015 23 4.42679e-116 -2.37288e-117
3 0.015 24 4.84539e-173 -2.52291e-174
3 0.015 25 1.17865e-241 -5.96938e-243
3 0.015 26 6.37345e-322 -2.96439e-323
3 0.015 27 0 0
3 0.015 28 0 0
3 0.015 29 0 0
3 0.015 30 0 0
3 0.015 31 0 0
3 0.015 32 0 0
3 0.015 33 0 0
3 0.015 34 0 0
3 0.015 35 0 0
3 0.015 36 0 0
3 0.015 37 0 0
3 0.015 38 0 0
3 0.015 39 0 0
3 0.015 40 0 0
3 0.015 41 0 0
3 0.015 42 0 0
3 0.015 43 0 0
3 0.015 44 0 0
3 0.015 45 0 0
3 0.015 46 0 0
3 0.015 47 0 0
3 0.015 48 0 0
3 0.015 49 0 0
4 0.02 0 -3.43072e-37 -7.17566e-37
4 0.02 1 5.2964e-36 1.34151e-35
4 0.02 2 -1.52682e-34 -4.15993e-34
4 0.02 3 6.17607e-33 1.72576e-32
4 0.02 4 -3.1056e-31 -8.79205e-31
4 0.02 5 1.82335e-29 5.20294e-29
4 0.02 6 -1.2e-27 -3.44189e-27
4 0.02 7 8.58877e-26 2.47197e-25
4 0.02 8 -6.52103e-24 -1.88106e-23
4 0.02 9 5.13596e-22 1.48345e-21
4 0.02 10 -4.10548e-20 -1.18635e-19
4 0.02 11 3.25489e-18 9.40173e-18
4 0.02 12 -2.49337e-16 -7.19174e-16
4 0.02 13 1.78784e-14 5.14214e-14
4 0.02 14 -1.15121e-12 -3.29457e-12
4 0.02 15 6.27417e-11 1.77961e-10
4 0.02 16 -2.6255e-09 -7.31553e-09
4 0.02 17 6.80362e-08 1.80533e-07
4 0.02 18 7.26963e-06 7.38194e-06
4 0.02 19 8.99228e-05 -7.28665e-06
4 0.02 20 4.03658e-15 -3.15673e-16
4 0.02 21 4.02667e-37 -3.04481e-38
4 0.02 22 8.92635e-71 -6.53775e-72
4 0.02 23 4.39746e-116 -3.12452e-117
4 0.02 24 4.81433e-173 -3.32334e-174
4 0.02 25 1.17133e-241 -7.86603e-243
4 0.02 26 6.32404e-322 -3.95253e-323
4 0.02 27 0 0
4 0.02 28 0 0
4 0.02 29 0 0
4 0.02 30 0 0
4 0.02 31 0 0
4 0.02 32 0 0
4 0.02 33 0 0
4 0.02 34 0 0
4 0.02 35 0 0
4 0.02 36 0 0
4 0.02 37 0 0
4 0.02 38 0 0
4 0.02 39 0 0
4 0.02 40 0 0
4 0.02 41 0 0
4 0.02 42 0 0
4 0.02 43 0 0
4 0.02 44 0 0
4 0.02 45 0 0
4 0.02 46 0 0
4 0.02 47 0 0
4 0.02 48 0 0
4 0.02 49 0 0
5 0.025 0 -6.14888e-36 -1.24567e-35
5 0.025 1 8.69336e-35 2.16324e-34
5 0.025 2 -2.25967e-33 -6.08875e-33
5 0.025 3 8.18009e-32 2.26586e-31
5 0.025 4 -3.65433e-30 -1.02674e-29
5 0.025 5 1.8919e-28 5.36115e-28
5 0.025 6 -1.08931e-26 -3.10374e-26
5 0.025 7 6.76371e-25 1.93402e-24
5 0.025 8 -4.41494e-23 -1.26517e-22
5 0.025 9 2.9605e-21 8.49296e-21
5 0.025 10 -1.99404e-19 -5.7208e-19
5 0.025 11 1.31752e-17 3.77608e-17
5 0.025 12 -8.31482e-16 -2.37757e-15
5 0.025 13 4.85315e-14 1.38202e-13
5 0.025 14 -2.51149e-12 -7.10196e-12
5 0.025 15 1.08341e-10 3.02583e-10
5 0.025 16 -3.49797e-09 -9.52243e-09
5 0.025 17 6.40286e-08 1.60531e-07
5 0.025 18 7.97933e-06 9.1476e-06
5 0.025 19 8.9218e-05 -8.97772e-06
5 0.025 20 4.00623e-15 -3.89146e-16
5 0.025 21 3.99755e-37 -3.75535e-38
5 0.025 22 8.86413e-71 -8.06707e-72
5 0.025 23 4.36786e-116 -3.85702e-117
5 0.025 24 4.78297e-173 -4.10402e-174
5 0.025 25 1.16393e-241 -9.71725e-243
5 0.025 26 6.27463e-322 -4.94066e-323
5 0.025 27 0 0
5 0.025 28 0 0
5 0.025 29 0 0
5 0.025 30 0 0
5 0.025 31 0 0
5 0.025 32 0 0
5 0.025 33 0 0
5 0.025 34 0 0
5 0.025 35 0 0
5 0.025 36 0 0
5 0.025 37 0 0
5 0.025 38 0 0
5 0.025 39 0 0
5 0.025 40 0 0
5 0.025 41 0 0
5 0.025 42 0 0
5 0.025 43 0 0
5 0.025 44 0 0
5 0.025 45 0 0
5 0.025 46 0 0
5 0.025 47 0 0
5 0.025 48 0 0
5 0.025 49 0 0
6 0.03 0 -7.50992e-35 -1.47223e-34
6 0.03 1 9.78756e-34 2.39072e-33
6 0.03 2 -2.30794e-32 -6.14638e-32
6 0.03 3 7.52702e-31 2.06576e-30
6 0.03 4 -3.01016e-29 -8.38986e-29
6 0.03 5 1.3863e-27 3.89955e-27
6 0.03 6 -7.05486e-26 -1.99603e-25
6 0.03 7 3.84591e-24 1.09213e-23
6 0.03 8 -2.18873e-22 -6.2286e-22
6 0.03 9 1.2704e-20 3.61837e-20
6 0.03 10 -7.35111e-19 -2.09306e-18
6 0.03 11 4.14043e-17 1.17699e-16
6 0.03 12 -2.20961e-15 -6.26101e-15
6 0.03 13 1.08128e-13 3.04707e-13
6 0.03 14 -4.6449e-12 -1.29693e-11
6 0.03 15 1.63961e-10 4.50279e-10
6 0.03 16 -4.19671e-09 -1.11149e-08
6 0.03 17 5.2082e-08 1.18168e-07
6 0.03 18 8.70368e-06 1.08796e-05
6 0.03 19 8.85062e-05 -1.06184e-05
6 0.03 20 3.97558e-15 -4.60517e-16
6 0.03 21 3.96815e-37 -4.44632e-38
6 0.03 22 8.80133e-71 -9.55571e-72
6 0.03 23 4.33799e-116 -4.57068e-117
6 0.03 24 4.75134e-173 -4.86524e-174
6 0.03 25 1.15648e-241 -1.15237e-242
6 0.03 26 6.27463e-322 -5.92879e-323
6 0.03 27 0 0
6 0.03 28 0 0
6 0.03 29 0 0
6 0.03 30 0 0
6 0.03 31 0 0
6 0.03 32 0 0
6 0.03 33 0 0
6 0.03 34 0 0
6 0.03 35 0 0
6 0.03 36 0 0
6 0.03 37 0 0
6 0.03 38 0 0
6 0.03 39 0 0
6 0.03 40 0 0
6 0.03 41 0 0
6 0.03 42 0 0
6 0.03 43 0 0
6 0.03 44 0 0
6 0.03 45 0 0
6 0.03 46 0 0
6 0.03 47 0 0
6 0.03 48 0 0
6 0.03 49 0 0
7 0.035 0 -6.7812e-34 -1.28565e-33
7 0.035 1 8.20285e-33 1.96544e-32
7 0.035 2 -1.76588e-31 -4.64559e-31
7 0.035 3 5.22423e-30 1.41994e-29
7 0.035 4 -1.88467e-28 -5.2089e-28
7 0.035 5 7.78837e-27 2.17396e-26
7 0.035 6 -3.53783e-25 -9.93622e-25
7 0.035 7 1.71239e-23 4.82768e-23
7 0.035 8 -8.60604e-22 -2.43133e-21
7 0.035 9 4.38699e-20 1.24019e-19
7 0.035 10 -2.21691e-18 -6.26255e-18
7 0.035 11 1.08414e-16 3.05572e-16
7 0.035 12 -4.99268e-15 -1.40135e-14
7 0.035 13 2.09367e-13 5.8356e-13
7 0.035 14 -7.63676e-12 -2.10369e-11
7 0.035 15 2.25263e-10 6.07198e-10
7 0.035 16 -4.60998e-09 -1.17951e-08
7 0.035 17 3.24527e-08 5.52098e-08
7 0.035 18 9.44193e-06 1.2577e-05
7 0.035 19 8.7788e-05 -1.22097e-05
7 0.035 20 3.94466e-15 -5.29823e-16
7 0.035 21 3.9385e-37 -5.11803e-38
7 0.035 22 8.738e-71 -1.10043e-71
7 0.035 23 4.30787e-116 -5.26579e-117
7 0.035 24 4.71945e-173 -5.60731e-174
7 0.035 25 1.14896e-241 -1.32861e-242
7 0.035 26 6.22523e-322 -6.91692e-323
7 0.035 27 0 0
7 0.035 28 0 0
7 0.035 29 0 0
7 0.035 30 0 0
7 0.035 31 0 0
7 0.035 32 0 0
7 0.035 33 0 0
7 0.035 34 0 0
7 0.035 35 0 0
7 0.035 36 0 0
7 0.035 37 0 0
7 0.035 38 0 0
7 0.035 39 0 0
7 0.035 40 0 0
7 0.035 41 0 0
7 0.035 42 0 0
7 0.035 43 0 0
7 0.035 44 0 0
7 0.035 45 0 0
7 0.035 46 0 0
7 0.035 47 0 0
7 0.035 48 0 0
7 0.035 49 0 0
8 0.04 0 -4.79544e-33 -8.78992e-33
8 0.04 1 5.42101e-32 1.27346e-31
8 0.04 2 -1.07218e-30 -2.78509e-30
8 0.04 3 2.89668e-29 7.79443e-29
8 0.04 4 -9.49647e-28 -2.60185e-27
8 0.04 5 3.55036e-26 9.83103e-26
8 0.04 6 -1.45271e-24 -4.04902e-24
8 0.04 7 6.30662e-23 1.76476e-22
8 0.04 8 -2.83068e-21 -7.93714e-21
8 0.04 9 1.28312e-19 3.59935e-19
8 0.04 10 -5.74034e-18 -1.60841e-17
8 0.04 11 2.47371e-16 6.91102e-16
8 0.04 12 -9.98684e-15 -2.7756e-14
8 0.04 13 3.64804e-13 1.00515e-12
8 0.04 14 -1.14799e-11 -3.1168e-11
8 0.04 15 2.86424e-10 7.55845e-10
8 0.04 16 -4.6363e-09 -1.13093e-08
8 0.04 17 5.40855e-09 -2.66246e-08
8 0.04 18 1.01933e-05 1.42393e-05
8 0.04 19 8.70636e-05 -1.37526e-05
8 0.04 20 3.91348e-15 -5.97101e-16
8 0.04 21 3.9086e-37 -5.77083e-38
8 0.04 22 8.67415e-71 -1.24136e-71
8 0.04 23 4.27751e-116 -5.94266e-117
8 0.04 24 4.6873e-173 -6.33053e-174
8 0.04 25 1.14138e-241 -1.5005e-242
8 0.04 26 6.17582e-322 -7.90505e-323
8 0.04 27 0 0
8 0.04 28 0 0
8 0.04 29 0 0
8 0.04 30 0 0
8 0.04 31 0 0
8 0.04 32 0 0
8 0.04 33 0 0
8 0.04 34 0 0
8 0.04 35 0 0
8 0.04 36 0 0
8 0.04 37 0 0
8 0.04 38 0 0
8 0.04 39 0 0
8 0.04 40 0 0
8 0.04 41 0 0
8 0.04 42 0 0
8 0.04 43 0 0
8 0.04 44 0 0
8 0.04 45 0 0
8 0.04 46 0 0
8 0.04 47 0 0
8 0.04 48 0 0
8 0.04 49 0 0
