nx,dx,error1,error2,order1,order2
2000,0.02,3.0502310935129004e-07,1.9043824691056901e-07,0.9599959077819703,1.083830189503245
4000,0.01,1.5679968284998521e-07,8.984393762303245e-08,0.9194753451511336,0.9681202608865745
8000,0.005,8.29001890160887e-08,4.592567410944755e-08,0.9621014340144166,0.9705659650492001
16000,0.0025,4.2553386721987175e-08,2.343613934091332e-08,nan,nan
