nx,h,rel_l2,rel_linf,order_to_next
2000,0.02,0.0009631953088077612,0.0010881308244145562,1.1244278904909406
4000,0.01,0.0004418021608915331,0.0004904361072896855,1.240325060059344
8000,0.005,0.00018700481472658427,0.0002051855997015431,1.5927839722543171
16000,0.0025,6.199790809762394e-05,6.76179817198313e-05,nan
