# step x_cm g psi1_integral psi2_integral
1 0.01 0 -1.56857e-37 -3.00142e-37
1 0.01 1 1.92288e-36 4.59547e-36
1 0.01 2 -3.96966e-35 -1.07421e-34
1 0.01 3 1.26221e-33 3.44684e-33
1 0.01 4 -4.6519e-32 -1.33471e-31
1 0.01 5 2.24904e-30 6.33402e-30
1 0.01 6 -1.13262e-28 -3.33384e-28
1 0.01 7 7.15208e-27 2.04312e-26
1 0.01 8 -4.41695e-25 -1.32415e-24
1 0.01 9 3.38191e-23 9.7399e-23
1 0.01 10 -2.39161e-21 -7.3024e-21
1 0.01 11 2.11788e-19 6.13019e-19
1 0.01 12 -1.61002e-17 -5.04004e-17
1 0.01 13 1.58643e-15 4.60517e-15
1 0.01 14 -1.17463e-13 -3.85954e-13
1 0.01 15 1.22231e-11 3.54881e-11
1 0.01 16 -6.11822e-10 -2.43305e-09
1 0.01 17 5.12978e-08 1.46401e-07
1 0.01 18 5.89727e-06 3.75279e-06
1 0.01 19 9.13102e-05 -3.74983e-06
1 0.01 20 4.09636e-15 -1.62274e-16
1 0.01 21 4.08404e-37 -1.56366e-38
1 0.01 22 9.04896e-71 -3.35443e-72
1 0.01 23 4.45582e-116 -1.60182e-117
1 0.01 24 4.87615e-173 -1.70245e-174
1 0.01 25 1.18591e-241 -4.02671e-243
1 0.01 26 6.42285e-322 -1.97626e-323
1 0.01 27 0 0
1 0.01 28 0 0
1 0.01 29 0 0
1 0.01 30 0 0
1 0.01 31 0 0
1 0.01 32 0 0
1 0.01 33 0 0
1 0.01 34 0 0
1 0.01 35 0 0
1 0.01 36 0 0
1 0.01 37 0 0
1 0.01 38 0 0
1 0.01 39 0 0
1 0.01 40 0 0
1 0.01 41 0 0
1 0.01 42 0 0
1 0.01 43 0 0
1 0.01 44 0 0
1 0.01 45 0 0
1 0.01 46 0 0
1 0.01 47 0 0
1 0.01 48 0 0
1 0.01 49 0 0
2 0.02 0 -3.47839e-35 -6.71276e-35
2 0.02 1 4.14558e-34 9.71277e-34
2 0.02 2 -7.00654e-33 -1.97907e-32
2 0.02 3 2.13375e-31 5.767e-31
2 0.02 4 -6.23384e-30 -1.8935e-29
2 0.02 5 2.86055e-28 7.99005e-28
2 0.02 6 -1.09637e-26 -3.46518e-26
2 0.02 7 6.501e-25 1.84287e-24
2 0.02 8 -2.88798e-23 -9.47432e-23
2 0.02 9 2.04712e-21 5.84851e-21
2 0.02 10 -9.56964e-20 -3.29275e-19
2 0.02 11 7.68461e-18 2.20367e-17
2 0.02 12 -3.35452e-16 -1.24798e-15
2 0.02 13 2.89884e-14 8.31027e-14
2 0.02 14 -9.34136e-13 -4.12358e-12
2 0.02 15 8.04007e-11 2.28345e-10
2 0.02 16 -9.32089e-10 -7.27232e-09
2 0.02 17 6.80956e-08 1.80992e-07
2 0.02 18 7.26943e-06 7.38172e-06
2 0.02 19 8.99229e-05 -7.28688e-06
2 0.02 20 4.03659e-15 -3.15682e-16
2 0.02 21 4.02668e-37 -3.04489e-38
2 0.02 22 8.92636e-71 -6.53792e-72
2 0.02 23 4.39747e-116 -3.1246e-117
2 0.02 24 4.81433e-173 -3.32342e-174
2 0.02 25 1.17133e-241 -7.8662e-243
2 0.02 26 6.32404e-322 -3.95253e-323
2 0.02 27 0 0
2 0.02 28 0 0
2 0.02 29 0 0
2 0.02 30 0 0
2 0.02 31 0 0
2 0.02 32 0 0
2 0.02 33 0 0
2 0.02 34 0 0
2 0.02 35 0 0
2 0.02 36 0 0
2 0.02 37 0 0
2 0.02 38 0 0
2 0.02 39 0 0
2 0.02 40 0 0
2 0.02 41 0 0
2 0.02 42 0 0
2 0.02 43 0 0
2 0.02 44 0 0
2 0.02 45 0 0
2 0.02 46 0 0
2 0.02 47 0 0
2 0.02 48 0 0
2 0.02 49 0 0
3 0.03 0 -2.30974e-33 -4.49648e-33
3 0.03 1 2.69235e-32 6.17243e-32
3 0.03 2 -3.72962e-31 -1.10313e-30
3 0.03 3 1.09267e-29 2.91896e-29
3 0.03 4 -2.53192e-28 -8.18274e-28
3 0.03 5 1.10861e-26 3.06731e-26
3 0.03 6 -3.23851e-25 -1.10677e-24
3 0.03 7 1.81611e-23 5.10169e-23
3 0.03 8 -5.82755e-22 -2.11227e-21
3 0.03 9 3.86467e-20 1.09343e-19
3 0.03 10 -1.20808e-18 -4.74577e-18
3 0.03 11 8.95145e-17 2.53709e-16
3 0.03 12 -2.32319e-15 -1.04289e-14
3 0.03 13 1.82151e-13 5.13681e-13
3 0.03 14 -2.90354e-12 -1.70817e-11
3 0.03 15 2.24833e-10 6.20024e-10
3 0.03 16 -7.24702e-10 -1.11762e-08
3 0.03 17 5.21803e-08 1.18821e-07
3 0.03 18 8.7034e-06 1.08793e-05
3 0.03 19 8.85064e-05 -1.06188e-05
3 0.03 20 3.97558e-15 -4.60531e-16
3 0.03 21 3.96816e-37 -4.44644e-38
3 0.03 22 8.80135e-71 -9.55596e-72
3 0.03 23 4.338e-116 -4.57079e-117
3 0.03 24 4.75135e-173 -4.86535e-174
3 0.03 25 1.15648e-241 -1.1524e-242
3 0.03 26 6.27463e-322 -5.92879e-323
3 0.03 27 0 0
3 0.03 28 0 0
3 0.03 29 0 0
3 0.03 30 0 0
3 0.03 31 0 0
3 0.03 32 0 0
3 0.03 33 0 0
3 0.03 34 0 0
3 0.03 35 0 0
3 0.03 36 0 0
3 0.03 37 0 0
3 0.03 38 0 0
3 0.03 39 0 0
3 0.03 40 0 0
3 0.03 41 0 0
3 0.03 42 0 0
3 0.03 43 0 0
3 0.03 44 0 0
3 0.03 45 0 0
3 0.03 46 0 0
3 0.03 47 0 0
3 0.03 48 0 0
3 0.03 49 0 0
4 0.04 0 -7.36168e-32 -1.44587e-31
4 0.04 1 8.44486e-31 1.89071e-30
4 0.04 2 -9.61532e-30 -2.9852e-29
4 0.04 3 2.72235e-28 7.17816e-28
4 0.04 4 -5.02158e-27 -1.73285e-26
4 0.04 5 2.10955e-25 5.77409e-25
4 0.04 6 -4.72741e-24 -1.75447e-23
4 0.04 7 2.52573e-22 7.02125e-22
4 0.04 8 -5.92644e-21 -2.3841e-20
4 0.04 9 3.71676e-19 1.03967e-18
4 0.04 10 -7.96361e-18 -3.58113e-17
4 0.04 11 5.54003e-16 1.54853e-15
4 0.04 12 -9.00154e-15 -4.84578e-14
4 0.04 13 6.60868e-13 1.82766e-12
4 0.04 14 -5.6429e-12 -4.34618e-11
4 0.04 15 4.17946e-10 1.11146e-09
4 0.04 16 -6.50891e-11 -1.15532e-08
4 0.04 17 5.55025e-09 -2.58006e-08
4 0.04 18 1.01929e-05 1.4239e-05
4 0.04 19 8.70638e-05 -1.3753e-05
4 0.04 20 3.91349e-15 -5.9712e-16
4 0.04 21 3.90861e-37 -5.77099e-38
4 0.04 22 8.67416e-71 -1.2414e-71
4 0.04 23 4.27752e-116 -5.9428e-117
4 0.04 24 4.68731e-173 -6.33067e-174
4 0.04 25 1.14139e-241 -1.50054e-242
4 0.04 26 6.17582e-322 -7.90505e-323
4 0.04 27 0 0
4 0.04 28 0 0
4 0.04 29 0 0
4 0.04 30 0 0
4 0.04 31 0 0
4 0.04 32 0 0
4 0.04 33 0 0
4 0.04 34 0 0
4 0.04 35 0 0
4 0.04 36 0 0
4 0.04 37 0 0
4 0.04 38 0 0
4 0.04 39 0 0
4 0.04 40 0 0
4 0.04 41 0 0
4 0.04 42 0 0
4 0.04 43 0 0
4 0.04 44 0 0
4 0.04 45 0 0
4 0.04 46 0 0
4 0.04 47 0 0
4 0.04 48 0 0
4 0.04 49 0 0
5 0.05 0 -1.39123e-30 -2.75676e-30
5 0.05 1 1.58072e-29 3.44947e-29
5 0.05 2 -1.48606e-28 -4.84965e-28
5 0.05 3 4.08513e-27 1.06171e-26
5 0.05 4 -6.03593e-26 -2.22809e-25
5 0.05 5 2.44658e-24 6.61646e-24
5 0.05 6 -4.24832e-23 -1.71477e-22
5 0.05 7 2.17877e-21 5.98586e-21
5 0.05 8 -3.80145e-20 -1.69722e-19
5 0.05 9 2.27911e-18 6.29366e-18
5 0.05 10 -3.44252e-17 -1.76506e-16
5 0.05 11 2.28633e-15 6.29113e-15
5 0.05 12 -2.42753e-14 -1.55118e-13
5 0.05 13 1.7132e-12 4.63384e-12
5 0.05 14 -8.11089e-12 -8.19333e-11
5 0.05 15 5.93051e-10 1.50196e-09
5 0.05 16 1.54492e-09 -5.81642e-09
5 0.05 17 -4.12317e-08 -2.39947e-07
5 0.05 18 1.1732e-05 1.74554e-05
5 0.05 19 8.55983e-05 -1.66968e-05
5 0.05 20 3.85041e-15 -7.2574e-16
5 0.05 21 3.84814e-37 -7.02118e-38
5 0.05 22 8.54505e-71 -1.51172e-71
5 0.05 23 4.21612e-116 -7.24301e-117
5 0.05 24 4.62232e-173 -7.72174e-174
5 0.05 25 1.12607e-241 -1.83157e-242
5 0.05 26 6.12641e-322 -9.38725e-323
5 0.05 27 0 0
5 0.05 28 0 0
5 0.05 29 0 0
5 0.05 30 0 0
5 0.05 31 0 0
5 0.05 32 0 0
5 0.05 33 0 0
5 0.05 34 0 0
5 0.05 35 0 0
5 0.05 36 0 0
5 0.05 37 0 0
5 0.05 38 0 0
5 0.05 39 0 0
5 0.05 40 0 0
5 0.05 41 0 0
5 0.05 42 0 0
5 0.05 43 0 0
5 0.05 44 0 0
5 0.05 45 0 0
5 0.05 46 0 0
5 0.05 47 0 0
5 0.05 48 0 0
5 0.05 49 0 0
6 0.06 0 -1.76232e-29 -3.52277e-29
6 0.06 1 1.99652e-28 4.23886e-28
6 0.06 2 -1.55899e-27 -5.35033e-27
6 0.06 3 4.1811e-26 1.06969e-25
6 0.06 4 -4.98815e-25 -1.97025e-24
6 0.06 5 1.96204e-23 5.23654e-23
6 0.06 6 -2.67157e-22 -1.17197e-21
6 0.06 7 1.32511e-20 3.59377e-20
6 0.06 8 -1.7502e-19 -8.64815e-19
6 0.06 9 1.01356e-17 2.75962e-17
6 0.06 10 -1.10741e-16 -6.43489e-16
6 0.06 11 7.12362e-15 1.9266e-14
6 0.06 12 -5.09707e-14 -3.83777e-13
6 0.06 13 3.52155e-12 9.28566e-12
6 0.06 14 -8.84976e-12 -1.23472e-10
6 0.06 15 6.57105e-10 1.53601e-09
6 0.06 16 6.62513e-09 9.35383e-09
6 0.06 17 -5.47379e-08 -5.12733e-07
6 0.06 18 1.33147e-05 2.0524e-05
6 0.06 19 8.4113e-05 -1.94573e-05
6 0.06 20 3.78649e-15 -8.46678e-16
6 0.06 21 3.78686e-37 -8.19955e-38
6 0.06 22 8.41421e-71 -1.76708e-71
6 0.06 23 4.15392e-116 -8.47372e-117
6 0.06 24 4.55649e-173 -9.04088e-174
6 0.06 25 1.11056e-241 -2.14602e-242
6 0.06 26 6.0276e-322 -1.13635e-322
6 0.06 27 0 0
6 0.06 28 0 0
6 0.06 29 0 0
6 0.06 30 0 0
6 0.06 31 0 0
6 0.06 32 0 0
6 0.06 33 0 0
6 0.06 34 0 0
6 0.06 35 0 0
6 0.06 36 0 0
6 0.06 37 0 0
6 0.06 38 0 0
6 0.06 39 0 0
6 0.06 40 0 0
6 0.06 41 0 0
6 0.06 42 0 0
6 0.06 43 0 0
6 0.06 44 0 0
6 0.06 45 0 0
6 0.06 46 0 0
6 0.06 47 0 0
6 0.06 48 0 0
6 0.06 49 0 0
7 0.07 0 -1.62255e-28 -3.27114e-28
7 0.07 1 1.84537e-27 3.80572e-27
7 0.07 2 -1.20514e-26 -4.34779e-26
7 0.07 3 3.16864e-25 7.97065e-25
7 0.07 4 -3.07969e-24 -1.30042e-23
7 0.07 5 1.1822e-22 3.11065e-22
7 0.07 6 -1.27805e-21 -6.08052e-21
7 0.07 7 6.17498e-20 1.65151e-19
7 0.07 8 -6.27978e-19 -3.42072e-18
7 0.07 9 3.5454e-17 9.50698e-17
7 0.07 10 -2.86232e-16 -1.87434e-15
7 0.07 11 1.80397e-14 4.78767e-14
7 0.07 12 -8.83743e-14 -7.83245e-13
7 0.07 13 6.05799e-12 1.54981e-11
7 0.07 14 -6.20938e-12 -1.50995e-10
7 0.07 15 4.92071e-10 9.11074e-10
7 0.07 16 1.63985e-08 3.65602e-08
7 0.07 17 -6.72209e-08 -8.33844e-07
7 0.07 18 1.49353e-05 2.34411e-05
7 0.07 19 8.26107e-05 -2.20414e-05
7 0.07 20 3.72184e-15 -9.60212e-16
7 0.07 21 3.72488e-37 -9.30863e-38
7 0.07 22 8.28187e-71 -2.00798e-71
7 0.07 23 4.09101e-116 -9.63719e-117
7 0.07 24 4.4899e-173 -1.02904e-173
7 0.07 25 1.09487e-241 -2.44438e-242
7 0.07 26 5.92879e-322 -1.28457e-322
7 0.07 27 0 0
7 0.07 28 0 0
7 0.07 29 0 0
7 0.07 30 0 0
7 0.07 31 0 0
7 0.07 32 0 0
7 0.07 33 0 0
7 0.07 34 0 0
7 0.07 35 0 0
7 0.07 36 0 0
7 0.07 37 0 0
7 0.07 38 0 0
7 0.07 39 0 0
7 0.07 40 0 0
7 0.07 41 0 0
7 0.07 42 0 0
7 0.07 43 0 0
7 0.07 44 0 0
7 0.07 45 0 0
7 0.07 46 0 0
7 0.07 47 0 0
7 0.07 48 0 0
7 0.07 49 0 0
8 0.08 0 -1.15023e-27 -2.33798e-27
8 0.08 1 1.3224e-26 2.64546e-26
8 0.08 2 -7.27656e-26 -2.7568e-25
8 0.08 3 1.88467e-24 4.65643e-24
8 0.08 4 -1.50605e-23 -6.78711e-23
8 0.08 5 5.67284e-22 1.47024e-21
8 0.08 6 -4.92787e-21 -2.53569e-20
8 0.08 7 2.33448e-19 6.15168e-19
8 0.08 8 -1.85559e-18 -1.10982e-17
8 0.08 9 1.02937e-16 2.71559e-16
8 0.08 10 -6.23849e-16 -4.58541e-15
8 0.08 11 3.88735e-14 1.01046e-13
8 0.08 12 -1.29757e-13 -1.36778e-12
8 0.08 13 8.92547e-12 2.19656e-11
8 0.08 14 1.62809e-12 -1.38981e-10
8 0.08 15 -3.58125e-11 -6.90594e-10
8 0.08 16 3.16827e-08 7.70237e-08
8 0.08 17 -7.86167e-08 -1.19284e-06
8 0.08 18 1.65883e-05 2.62037e-05
8 0.08 19 8.10941e-05 -2.44558e-05
8 0.08 20 3.65656e-15 -1.06661e-15
8 0.08 21 3.66229e-37 -1.03509e-37
8 0.08 22 8.14822e-71 -2.23491e-71
8 0.08 23 4.02747e-116 -1.07356e-116
8 0.08 24 4.42264e-173 -1.14724e-173
8 0.08 25 1.07903e-241 -2.72716e-242
8 0.08 26 5.87938e-322 -1.43279e-322
8 0.08 27 0 0
8 0.08 28 0 0
8 0.08 29 0 0
8 0.08 30 0 0
8 0.08 31 0 0
8 0.08 32 0 0
8 0.08 33 0 0
8 0.08 34 0 0
8 0.08 35 0 0
8 0.08 36 0 0
8 0.08 37 0 0
8 0.08 38 0 0
8 0.08 39 0 0
8 0.08 40 0 0
8 0.08 41 0 0
8 0.08 42 0 0
8 0.08 43 0 0
8 0.08 44 0 0
8 0.08 45 0 0
8 0.08 46 0 0
8 0.08 47 0 0
8 0.08 48 0 0
8 0.08 49 0 0
9 0.09 0 -6.55447e-27 -1.34271e-26
9 0.09 1 7.67045e-26 1.48683e-25
9 0.09 2 -3.58323e-25 -1.42357e-24
9 0.09 3 9.18502e-24 2.22687e-23
9 0.09 4 -6.08884e-23 -2.92242e-22
9 0.09 5 2.26186e-21 5.76939e-21
9 0.09 6 -1.5962e-20 -8.85734e-20
9 0.09 7 7.4573e-19 1.93453e-18
9 0.09 8 -4.69081e-18 -3.06984e-17
9 0.09 9 2.57383e-16 6.67246e-16
9 0.09 10 -1.18179e-15 -9.73775e-15
9 0.09 11 7.33579e-14 1.86275e-13
9 0.09 12 -1.60594e-13 -2.07881e-12
9 0.09 13 1.1251e-11 2.61736e-11
9 0.09 14 3.0207e-11 -4.23998e-11
9 0.09 15 -5.9135e-10 -3.5855e-09
9 0.09 16 5.31406e-08 1.3141e-07
9 0.09 17 -8.88704e-08 -1.57989e-06
9 0.09 18 1.82682e-05 2.88098e-05
9 0.09 19 7.95659e-05 -2.67072e-05
9 0.09 20 3.59076e-15 -1.16615e-15
9 0.09 21 3.59919e-37 -1.13286e-37
9 0.09 22 8.01347e-71 -2.44836e-71
9 0.09 23 3.96339e-116 -1.17712e-116
9 0.09 24 4.35481e-173 -1.25891e-173
9 0.09 25 1.06304e-241 -2.99485e-242
9 0.09 26 5.78057e-322 -1.58101e-322
9 0.09 27 0 0
9 0.09 28 0 0
9 0.09 29 0 0
9 0.09 30 0 0
9 0.09 31 0 0
9 0.09 32 0 0
9 0.09 33 0 0
9 0.09 34 0 0
9 0.09 35 0 0
9 0.09 36 0 0
9 0.09 37 0 0
9 0.09 38 0 0
9 0.09 39 0 0
9 0.09 40 0 0
9 0.09 41 0 0
9 0.09 42 0 0
9 0.09 43 0 0
9 0.09 44 0 0
9 0.09 45 0 0
9 0.09 46 0 0
9 0.09 47 0 0
9 0.09 48 0 0
9 0.09 49 0 0
10 0.1 0 -3.10353e-26 -6.4048e-26
10 0.1 1 3.72264e-25 6.98552e-25
10 0.1 2 -1.48732e-24 -6.18616e-24
10 0.1 3 3.78995e-23 9.0092e-23
10 0.1 4 -2.10165e-22 -1.07195e-21
10 0.1 5 7.73511e-21 1.94035e-20
10 0.1 6 -4.47732e-20 -2.67196e-19
10 0.1 7 2.07341e-18 5.29052e-18
10 0.1 8 -1.04191e-17 -7.44237e-17
10 0.1 9 5.68659e-16 1.44673e-15
10 0.1 10 -1.98027e-15 -1.83423e-14
10 0.1 11 1.23301e-13 3.04671e-13
10 0.1 12 -1.5693e-13 -2.74297e-12
10 0.1 13 1.15273e-11 2.40813e-11
10 0.1 14 1.1677e-10 2.10179e-10
10 0.1 15 -9.41808e-10 -8.07967e-09
10 0.1 16 8.12832e-08 1.9989e-07
10 0.1 17 -9.7936e-08 -1.98577e-06
10 0.1 18 1.997e-05 3.12579e-05
10 0.1 19 7.80284e-05 -2.88019e-05
10 0.1 20 3.52454e-15 -1.25907e-15
10 0.1 21 3.53567e-37 -1.22443e-37
10 0.1 22 7.87778e-71 -2.64879e-71
10 0.1 23 3.89886e-116 -1.27461e-116
10 0.1 24 4.28649e-173 -1.36427e-173
10 0.1 25 1.04694e-241 -3.24791e-242
10 0.1 26 5.68175e-322 -1.72923e-322
10 0.1 27 0 0
10 0.1 28 0 0
10 0.1 29 0 0
10 0.1 30 0 0
10 0.1 31 0 0
10 0.1 32 0 0
10 0.1 33 0 0
10 0.1 34 0 0
10 0.1 35 0 0
10 0.1 36 0 0
10 0.1 37 0 0
10 0.1 38 0 0
10 0.1 39 0 0
10 0.1 40 0 0
10 0.1 41 0 0
10 0.1 42 0 0
10 0.1 43 0 0
10 0.1 44 0 0
10 0.1 45 0 0
10 0.1 46 0 0
10 0.1 47 0 0
10 0.1 48 0 0
10 0.1 49 0 0
11 0.11 0 -1.25325e-25 -2.6044e-25
11 0.11 1 1.5515e-24 2.81638e-24
11 0.11 2 -5.33894e-24 -2.32078e-23
11 0.11 3 1.35808e-22 3.16289e-22
11 0.11 4 -6.34734e-22 -3.43307e-21
11 0.11 5 2.32434e-20 5.72979e-20
11 0.11 6 -1.11237e-19 -7.12287e-19
11 0.11 7 5.12914e-18 1.28609e-17
11 0.11 8 -2.07149e-17 -1.61318e-16
11 0.11 9 1.13028e-15 2.81708e-15
11 0.11 10 -2.95327e-15 -3.10418e-14
11 0.11 11 1.85818e-13 4.43905e-13
11 0.11 12 -8.37499e-14 -3.02649e-12
11 0.11 13 7.41549e-12 9.71683e-12
11 0.11 14 2.94733e-10 6.97871e-10
11 0.11 15 -1.36483e-09 -1.44391e-08
11 0.11 16 1.16474e-07 2.82198e-07
11 0.11 17 -1.05776e-07 -2.40184e-06
11 0.11 18 2.16885e-05 3.35473e-05
11 0.11 19 7.6484e-05 -3.07461e-05
11 0.11 20 3.458e-15 -1.34564e-15
11 0.11 21 3.47181e-37 -1.31e-37
11 0.11 22 7.74135e-71 -2.83667e-71
11 0.11 23 3.83396e-116 -1.36623e-116
11 0.11 24 4.21777e-173 -1.46353e-173
11 0.11 25 1.03074e-241 -3.48681e-242
11 0.11 26 5.63235e-322 -1.82804e-322
11 0.11 27 0 0
11 0.11 28 0 0
11 0.11 29 0 0
11 0.11 30 0 0
11 0.11 31 0 0
11 0.11 32 0 0
11 0.11 33 0 0
11 0.11 34 0 0
11 0.11 35 0 0
11 0.11 36 0 0
11 0.11 37 0 0
11 0.11 38 0 0
11 0.11 39 0 0
11 0.11 40 0 0
11 0.11 41 0 0
11 0.11 42 0 0
11 0.11 43 0 0
11 0.11 44 0 0
11 0.11 45 0 0
11 0.11 46 0 0
11 0.11 47 0 0
11 0.11 48 0 0
11 0.11 49 0 0
12 0.12 0 -4.40616e-25 -9.21669e-25
12 0.12 1 5.66939e-24 9.94954e-24
12 0.12 2 -1.69123e-23 -7.67037e-23
12 0.12 3 4.31152e-22 9.83056e-22
12 0.12 4 -1.70958e-21 -9.78626e-21
12 0.12 5 6.25267e-20 1.51354e-19
12 0.12 6 -2.48942e-19 -1.70747e-18
12 0.12 7 1.1476e-17 2.82462e-17
12 0.12 8 -3.73184e-17 -3.17086e-16
