# step x_cm g psi1_integral psi2_integral
1 0.02 0 -4.39307e-30 -5.09923e-30
1 0.02 1 3.52302e-29 6.01803e-29
1 0.02 2 -3.45977e-28 -7.26465e-28
1 0.02 3 4.31059e-27 9.87114e-27
1 0.02 4 -6.44486e-26 -1.55048e-25
1 0.02 5 1.11399e-24 2.76749e-24
1 0.02 6 -2.16941e-23 -5.51281e-23
1 0.02 7 4.66947e-22 1.20663e-21
1 0.02 8 -1.09415e-20 -2.86379e-20
1 0.02 9 2.75564e-19 7.28473e-19
1 0.02 10 -7.37437e-18 -1.96467e-17
1 0.02 11 2.07352e-16 5.55721e-16
1 0.02 12 -6.05166e-15 -1.6288e-14
1 0.02 13 1.80563e-13 4.87147e-13
1 0.02 14 -5.38563e-12 -1.45277e-11
1 0.02 15 1.54124e-10 4.13706e-10
1 0.02 16 -3.81809e-09 -1.00583e-08
1 0.02 17 4.87233e-08 1.11411e-07
1 0.02 18 8.90245e-06 1.13485e-05
1 0.02 19 8.83104e-05 -1.10704e-05
1 0.02 20 3.96709e-15 -4.80291e-16
1 0.02 21 3.95996e-37 -4.63879e-38
1 0.02 22 8.78373e-71 -9.9725e-72
1 0.02 23 4.32957e-116 -4.77145e-117
1 0.02 24 4.74238e-173 -5.08038e-174
1 0.02 25 1.15435e-241 -1.20365e-242
1 0.02 26 6.22523e-322 -6.42285e-323
1 0.02 27 0 0
1 0.02 28 0 0
1 0.02 29 0 0
1 0.02 30 0 0
1 0.02 31 0 0
1 0.02 32 0 0
1 0.02 33 0 0
1 0.02 34 0 0
1 0.02 35 0 0
1 0.02 36 0 0
1 0.02 37 0 0
1 0.02 38 0 0
1 0.02 39 0 0
1 0.02 40 0 0
1 0.02 41 0 0
1 0.02 42 0 0
1 0.02 43 0 0
1 0.02 44 0 0
1 0.02 45 0 0
1 0.02 46 0 0
1 0.02 47 0 0
1 0.02 48 0 0
1 0.02 49 0 0
2 0.04 0 -4.94663e-28 -5.29575e-28
2 0.04 1 4.08374e-27 6.54075e-27
2 0.04 2 -3.74931e-26 -7.49588e-26
2 0.04 3 4.22098e-25 9.27533e-25
2 0.04 4 -5.58725e-24 -1.29537e-23
2 0.04 5 8.40203e-23 2.0163e-22
2 0.04 6 -1.39885e-21 -3.43749e-21
2 0.04 7 2.52559e-20 6.31172e-20
2 0.04 8 -4.85653e-19 -1.2283e-18
2 0.04 9 9.77664e-18 2.49277e-17
2 0.04 10 -2.02327e-16 -5.18237e-16
2 0.04 11 4.2122e-15 1.0797e-14
2 0.04 12 -8.56444e-14 -2.18549e-13
2 0.04 13 1.62114e-12 4.08047e-12
2 0.04 14 -2.58771e-11 -6.27317e-11
2 0.04 15 2.48426e-10 5.04785e-10
2 0.04 16 2.86445e-09 1.10014e-08
2 0.04 17 -2.00268e-07 -5.78288e-07
2 0.04 18 1.37525e-05 2.13425e-05
2 0.04 19 8.37027e-05 -2.02015e-05
2 0.04 20 3.76871e-15 -8.79496e-16
2 0.04 21 3.76971e-37 -8.52131e-38
2 0.04 22 8.37738e-71 -1.83721e-71
2 0.04 23 4.13631e-116 -8.81357e-117
2 0.04 24 4.53775e-173 -9.40705e-174
2 0.04 25 1.10613e-241 -2.23373e-242
2 0.04 26 5.97819e-322 -1.18576e-322
2 0.04 27 0 0
2 0.04 28 0 0
2 0.04 29 0 0
2 0.04 30 0 0
2 0.04 31 0 0
2 0.04 32 0 0
2 0.04 33 0 0
2 0.04 34 0 0
2 0.04 35 0 0
2 0.04 36 0 0
2 0.04 37 0 0
2 0.04 38 0 0
2 0.04 39 0 0
2 0.04 40 0 0
2 0.04 41 0 0
2 0.04 42 0 0
2 0.04 43 0 0
2 0.04 44 0 0
2 0.04 45 0 0
2 0.04 46 0 0
2 0.04 47 0 0
2 0.04 48 0 0
2 0.04 49 0 0
3 0.06 0 -1.47463e-26 -1.43485e-26
3 0.06 1 1.30743e-25 1.94027e-25
3 0.06 2 -1.13648e-24 -2.14138e-24
3 0.06 3 1.16137e-23 2.42621e-23
3 0.06 4 -1.36247e-22 -3.01675e-22
3 0.06 5 1.78005e-21 4.08827e-21
3 0.06 6 -2.52413e-20 -5.93852e-20
3 0.06 7 3.79702e-19 9.07386e-19
3 0.06 8 -5.92542e-18 -1.42871e-17
3 0.06 9 9.35876e-17 2.26215e-16
3 0.06 10 -1.44931e-15 -3.48391e-15
3 0.06 11 2.09411e-14 4.93811e-14
3 0.06 12 -2.54329e-13 -5.67177e-13
3 0.06 13 1.72154e-12 2.74361e-12
3 0.06 14 2.86922e-11 1.03796e-10
3 0.06 15 -1.52674e-09 -4.35451e-09
3 0.06 16 3.84531e-08 1.0195e-07
3 0.06 17 -6.7507e-07 -1.67858e-06
3 0.06 18 1.89625e-05 2.98441e-05
3 0.06 19 7.89336e-05 -2.76115e-05
3 0.06 20 3.56334e-15 -1.2064e-15
3 0.06 21 3.57273e-37 -1.17266e-37
3 0.06 22 7.95664e-71 -2.53577e-71
3 0.06 23 3.93622e-116 -1.21978e-116
3 0.06 24 4.3259e-173 -1.30516e-173
3 0.06 25 1.0562e-241 -3.10625e-242
3 0.06 26 5.73116e-322 -1.63042e-322
3 0.06 27 0 0
3 0.06 28 0 0
3 0.06 29 0 0
3 0.06 30 0 0
3 0.06 31 0 0
3 0.06 32 0 0
3 0.06 33 0 0
3 0.06 34 0 0
3 0.06 35 0 0
3 0.06 36 0 0
3 0.06 37 0 0
3 0.06 38 0 0
3 0.06 39 0 0
3 0.06 40 0 0
3 0.06 41 0 0
3 0.06 42 0 0
3 0.06 43 0 0
3 0.06 44 0 0
3 0.06 45 0 0
3 0.06 46 0 0
3 0.06 47 0 0
3 0.06 48 0 0
3 0.06 49 0 0
4 0.08 0 -1.74337e-25 -1.49448e-25
4 0.08 1 1.79515e-24 2.42122e-24
4 0.08 2 -1.50609e-23 -2.63212e-23
4 0.08 3 1.40499e-22 2.7499e-22
4 0.08 4 -1.45993e-21 -3.04219e-21
4 0.08 5 1.64727e-20 3.56378e-20
4 0.08 6 -1.96437e-19 -4.34335e-19
4 0.08 7 2.40488e-18 5.3669e-18
4 0.08 8 -2.91467e-17 -6.47646e-17
4 0.08 9 3.30061e-16 7.13765e-16
