nx,h,rel_l2,rel_linf,order_to_next
2000,0.02,0.00013982940289055862,0.0002186736275479395,2.0009188109797025
4000,0.01,3.493509447926904e-05,5.776284501267452e-05,2.0959884603207435
8000,0.005,8.171589185238514e-06,1.3753058336385158e-05,2.2230376606006788
16000,0.0025,1.7502718486372432e-06,2.7506116673724625e-06,nan
