nx,dx,error1,error2,order1,order2
2000,0.02,5.457345315482419e-06,3.2845364076249164e-06,1.999549944037448,2.000560567511253
4000,0.01,1.364762006832198e-06,8.208151074741975e-07,2.0020228974248755,2.0029014265131075
8000,0.005,3.407124313528443e-07,2.0479150305434793e-07,1.9998579154090328,1.9921807289336357
16000,0.0025,8.518649706271696e-08,5.1476116760805914e-08,nan,nan
