# step x_cm g psi1_integral psi2_integral
1 0.0025 0 -1.1911e-44 -2.89223e-44
1 0.0025 1 3.16904e-43 8.64444e-43
1 0.0025 2 -1.64345e-41 -4.67751e-41
1 0.0025 3 1.22365e-39 3.53424e-39
1 0.0025 4 -1.16232e-37 -3.38317e-37
1 0.0025 5 1.32636e-35 3.87932e-35
1 0.0025 6 -1.7516e-33 -5.14005e-33
1 0.0025 7 2.60852e-31 7.67314e-31
1 0.0025 8 -4.29651e-29 -1.26615e-28
1 0.0025 9 7.7068e-27 2.27436e-26
1 0.0025 10 -1.48574e-24 -4.38944e-24
1 0.0025 11 3.04143e-22 8.99333e-22
1 0.0025 12 -6.53147e-20 -1.93258e-19
1 0.0025 13 1.45139e-17 4.2964e-17
1 0.0025 14 -3.27752e-15 -9.70399e-15
1 0.0025 15 7.3073e-13 2.16312e-12
1 0.0025 16 -1.51583e-10 -4.48261e-10
1 0.0025 17 2.43209e-08 7.16151e-08
1 0.0025 18 5.09628e-06 1.48637e-06
1 0.0025 19 9.21375e-05 -1.49713e-06
1 0.0025 20 4.13201e-15 -6.47627e-17
1 0.0025 21 4.11827e-37 -6.23829e-39
1 0.0025 22 9.12216e-71 -1.33785e-72
1 0.0025 23 4.49066e-116 -6.38676e-118
1 0.0025 24 4.91308e-173 -6.78627e-175
1 0.0025 25 1.19462e-241 -1.60475e-243
1 0.0025 26 6.47226e-322 -9.88131e-324
1 0.0025 27 0 0
1 0.0025 28 0 0
1 0.0025 29 0 0
1 0.0025 30 0 0
1 0.0025 31 0 0
1 0.0025 32 0 0
1 0.0025 33 0 0
1 0.0025 34 0 0
1 0.0025 35 0 0
1 0.0025 36 0 0
1 0.0025 37 0 0
1 0.0025 38 0 0
1 0.0025 39 0 0
1 0.0025 40 0 0
1 0.0025 41 0 0
1 0.0025 42 0 0
1 0.0025 43 0 0
1 0.0025 44 0 0
1 0.0025 45 0 0
1 0.0025 46 0 0
1 0.0025 47 0 0
1 0.0025 48 0 0
1 0.0025 49 0 0
2 0.005 0 -2.44915e-42 -5.81978e-42
2 0.005 1 5.86018e-41 1.58089e-40
2 0.005 2 -2.70256e-39 -7.64048e-39
2 0.005 3 1.7744e-37 5.09836e-37
2 0.005 4 -1.47243e-35 -4.26671e-35
2 0.005 5 1.45261e-33 4.23141e-33
2 0.005 6 -1.63888e-31 -4.79092e-31
2 0.005 7 2.05666e-29 6.0273e-29
2 0.005 8 -2.80878e-27 -8.24652e-27
2 0.005 9 4.09745e-25 1.20459e-24
2 0.005 10 -6.27469e-23 -1.84636e-22
2 0.005 11 9.90866e-21 2.91726e-20
2 0.005 12 -1.58134e-18 -4.65647e-18
2 0.005 13 2.48678e-16 7.32036e-16
2 0.005 14 -3.72012e-14 -1.09399e-13
2 0.005 15 5.0155e-12 1.47162e-11
2 0.005 16 -5.56984e-10 -1.62636e-09
2 0.005 17 4.31813e-08 1.24583e-07
2 0.005 18 5.6104e-06 2.95446e-06
2 0.005 19 9.16049e-05 -2.96078e-06
2 0.005 20 4.10905e-15 -1.28131e-16
2 0.005 21 4.09621e-37 -1.2347e-38
2 0.005 22 9.07497e-71 -2.64882e-72
2 0.005 23 4.46819e-116 -1.26493e-117
2 0.005 24 4.88925e-173 -1.34445e-174
2 0.005 25 1.189e-241 -3.18008e-243
2 0.005 26 6.42285e-322 -1.4822e-323
2 0.005 27 0 0
2 0.005 28 0 0
2 0.005 29 0 0
2 0.005 30 0 0
2 0.005 31 0 0
2 0.005 32 0 0
2 0.005 33 0 0
2 0.005 34 0 0
2 0.005 35 0 0
2 0.005 36 0 0
2 0.005 37 0 0
2 0.005 38 0 0
2 0.005 39 0 0
