nx,h,rel_l2,rel_linf,order_to_next
2000,0.02,5.3295186061647525e-05,8.489504849628318e-05,1.996038420031377
4000,0.01,1.3360433379478433e-05,2.12234618297233e-05,1.777749406704658
8000,0.005,3.896410003053465e-06,7.074487276615342e-06,1.4430745174756947
16000,0.0025,1.4330321499942624e-06,7.074487276615342e-06,nan
