nx,dx,error1,error2,order1,order2
2000,0.02,3.4168232056467214e-06,2.069417129293953e-06,2.0001780612222433,2.000506624226025
4000,0.01,8.541003795874046e-07,5.171726374228757e-07,2.0001370315694835,1.9983789185481418
8000,0.005,2.135048145960905e-07,1.2943852101290786e-07,1.998939816131898,2.006200163639011
16000,0.0025,5.34154422864217e-08,3.2220859073565684e-08,nan,nan
