nx,h,rel_l2,rel_linf,order_to_next
2000,0.02,0.0003936258628328899,0.0005615845323574619,2.0130177529912894
4000,0.01,9.752251666872402e-05,0.00013883082846523432,2.0661834309083322
8000,0.005,2.328743796105947e-05,3.3936424736017524e-05,2.289600455545328
16000,0.0025,4.7630297673700256e-06,7.712811906201475e-06,nan
