nx,dx,error1,error2,order1,order2
2000,0.02,1.5835984213763206e-07,1.1293779428623488e-07,2.0013181452503312,1.9999638825243862
4000,0.01,3.9553804947693736e-08,2.823515542210137e-08,1.9980147390649734,1.999850921315673
8000,0.005,9.902067883955972e-09,7.059518302357313e-09,2.0040617577544633,2.0037562659906025
16000,0.0025,2.4685572124055014e-09,1.760290432230585e-09,nan,nan
