nx,dx,error1,error2,order1,order2
2000,0.02,9.983328427551743e-08,7.126150949517214e-08,2.0023181038358397,2.0004170689273564
4000,0.01,2.491825056060808e-08,1.781022786802777e-08,2.0001567105369564,1.9988038987578984
8000,0.005,6.228886000211208e-09,4.456249997815218e-09,1.9998152039867894,2.0089356126707574
16000,0.0025,1.557420978631274e-09,1.1071836611255652e-09,nan,nan
