nx,h,rel_l2,rel_linf,order_to_next
2000,0.02,0.00016224315967595455,0.00024127780726724982,2.015921944949817
4000,0.01,4.011561191714823e-05,6.434074860464646e-05,2.0603755625010733
8000,0.005,9.617862735430554e-06,1.608492842211251e-05,1.7923643267256901
16000,0.0025,2.7766628459857183e-06,8.042464211126013e-06,nan
