0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0.195326467
0.080181166	0.082526885	3.534225265
0.390700944	0.076505182	3.169804319
0.393078345	0.172006942	2.8748991
0.720681425	0.111552755	2.934427397
0.800561786	0.159615384	4.409479074
1.766497515	0.070853001	2.247311097
1.362070823	0.083849366	2.325864279
1.269321094	0.112405043	3.241789878
0.32467794	0.599305133	3.368660651
1.906400262	0.074873228	2.684430246
1.824212282	0.094687405	3.518703643
1.152772913	0.165542162	4.490065503
2.451912373	0.061297971	2.165287765
2.013918068	0.097982292	3.255130169
2.017847878	0.089016165	2.215853035
1.408250991	0.122596892	2.249819455
2.91148812	0.070336161	2.60574648
2.022805292	0.092290939	3.220046844
1.91144373	0.100419415	2.393322508
1.628626819	0.11930231	2.623943864
1.142620328	0.201082645	3.339422039
3.415514977	0.053588921	2.849388372
1.562833054	0.127347241	2.39842791
1.477644171	0.12428766	3.233722511
1.151439636	0.165311878	3.841082373
1.906985558	0.092608585	3.054648459
2.3562938	0.081481758	3.068053243
1.962665428	0.101486141	3.230563693
1.723814559	0.104655496	2.358224331
1.416779831	0.140324683	2.727665315
1.324393485	0.193983066	2.791957925
2.258673811	0.084097096	1.933610683
2.84990922	0.06135361	2.660943235
2.355815119	0.077916869	2.231990186
1.956787213	0.101998898	1.988958085
2.320993133	0.075978153	2.193123011
0.101237901	3.254802169	3.133712561
0.085639934	4.157040804	2.528614926
2.096954363	0.090119131	2.567578469
2.117937698	0.079403981	2.774688246
1.720736719	0.121545841	2.612354996
1.752876936	0.100934255	3.096318868
