# step x_cm g psi1_integral psi2_integral
1 0.005 0 -1.89894e-39 -3.90637e-39
1 0.005 1 2.78687e-38 6.97921e-38
1 0.005 2 -7.58964e-37 -2.05507e-36
1 0.005 3 2.93671e-35 8.17753e-35
1 0.005 4 -1.43944e-33 -4.06852e-33
1 0.005 5 8.43513e-32 2.40664e-31
1 0.005 6 -5.70047e-30 -1.63696e-29
1 0.005 7 4.33274e-28 1.25009e-27
1 0.005 8 -3.63466e-26 -1.05244e-25
1 0.005 9 3.31475e-24 9.62476e-24
1 0.005 10 -3.24419e-22 -9.44043e-22
1 0.005 11 3.36709e-20 9.81471e-20
1 0.005 12 -3.66147e-18 -1.06865e-17
1 0.005 13 4.11461e-16 1.20193e-15
1 0.005 14 -4.69139e-14 -1.3709e-13
1 0.005 15 5.26854e-12 1.53887e-11
1 0.005 16 -5.47733e-10 -1.59632e-09
1 0.005 17 4.31936e-08 1.247e-07
1 0.005 18 5.61035e-06 2.9544e-06
1 0.005 19 9.16049e-05 -2.96084e-06
1 0.005 20 4.10905e-15 -1.28133e-16
1 0.005 21 4.09621e-37 -1.23472e-38
1 0.005 22 9.07497e-71 -2.64886e-72
1 0.005 23 4.46819e-116 -1.26495e-117
1 0.005 24 4.88925e-173 -1.34447e-174
1 0.005 25 1.189e-241 -3.18012e-243
1 0.005 26 6.42285e-322 -1.4822e-323
1 0.005 27 0 0
1 0.005 28 0 0
1 0.005 29 0 0
1 0.005 30 0 0
1 0.005 31 0 0
1 0.005 32 0 0
1 0.005 33 0 0
1 0.005 34 0 0
1 0.005 35 0 0
1 0.005 36 0 0
1 0.005 37 0 0
1 0.005 38 0 0
1 0.005 39 0 0
1 0.005 40 0 0
1 0.005 41 0 0
1 0.005 42 0 0
1 0.005 43 0 0
1 0.005 44 0 0
1 0.005 45 0 0
1 0.005 46 0 0
1 0.005 47 0 0
1 0.005 48 0 0
1 0.005 49 0 0
2 0.01 0 -3.65888e-37 -7.26148e-37
2 0.01 1 4.8915e-36 1.20002e-35
2 0.01 2 -1.18988e-34 -3.18012e-34
2 0.01 3 4.0705e-33 1.12188e-32
2 0.01 4 -1.74591e-31 -4.89116e-31
2 0.01 5 8.85454e-30 2.50593e-29
2 0.01 6 -5.11518e-28 -1.45766e-27
2 0.01 7 3.27665e-26 9.38325e-26
2 0.01 8 -2.27844e-24 -6.54795e-24
2 0.01 9 1.68858e-22 4.86524e-22
2 0.01 10 -1.31095e-20 -3.78385e-20
2 0.01 11 1.04731e-18 3.02599e-18
2 0.01 12 -8.43545e-17 -2.43783e-16
2 0.01 13 6.67401e-15 1.92732e-14
2 0.01 14 -4.99959e-13 -1.44053e-12
2 0.01 15 3.34718e-11 9.5962e-11
2 0.01 16 -1.8126e-09 -5.13904e-09
2 0.01 17 6.49337e-08 1.78575e-07
2 0.01 18 6.67025e-06 5.83366e-06
2 0.01 19 9.05245e-05 -5.78964e-06
2 0.01 20 4.06247e-15 -2.50764e-16
2 0.01 21 4.05149e-37 -2.41827e-38
2 0.01 22 8.97935e-71 -5.19158e-72
2 0.01 23 4.42266e-116 -2.4808e-117
2 0.01 24 4.841e-173 -2.63831e-174
2 0.01 25 1.17761e-241 -6.24392e-243
2 0.01 26 6.37345e-322 -3.45846e-323
2 0.01 27 0 0
2 0.01 28 0 0
2 0.01 29 0 0
2 0.01 30 0 0
2 0.01 31 0 0
2 0.01 32 0 0
2 0.01 33 0 0
2 0.01 34 0 0
2 0.01 35 0 0
2 0.01 36 0 0
2 0.01 37 0 0
2 0.01 38 0 0
2 0.01 39 0 0
2 0.01 40 0 0
2 0.01 41 0 0
2 0.01 42 0 0
2 0.01 43 0 0
2 0.01 44 0 0
2 0.01 45 0 0
2 0.01 46 0 0
2 0.01 47 0 0
2 0.01 48 0 0
2 0.01 49 0 0
3 0.015 0 -2.1236e-35 -4.05614e-35
3 0.015 1 2.59872e-34 6.23357e-34
3 0.015 2 -5.66461e-33 -1.49223e-32
3 0.015 3 1.71875e-31 4.68306e-31
3 0.015 4 -6.47443e-30 -1.7958e-29
3 0.015 5 2.85398e-28 8.0034e-28
3 0.015 6 -1.41678e-26 -4.00218e-26
3 0.015 7 7.6994e-25 2.18594e-24
3 0.015 8 -4.47582e-23 -1.27513e-22
3 0.015 9 2.72623e-21 7.78431e-21
3 0.015 10 -1.70505e-19 -4.87425e-19
3 0.015 11 1.07156e-17 3.06365e-17
3 0.015 12 -6.59953e-16 -1.88474e-15
3 0.015 13 3.85946e-14 1.09914e-13
3 0.015 14 -2.05311e-12 -5.81531e-12
3 0.015 15 9.31984e-11 2.61252e-10
3 0.015 16 -3.23505e-09 -8.86989e-09
3 0.015 17 6.60479e-08 1.68997e-07
3 0.015 18 7.76986e-06 8.634e-06
3 0.015 19 8.94252e-05 -8.49014e-06
3 0.015 20 4.01511e-15 -3.68042e-16
3 0.015 21 4.00603e-37 -3.55199e-38
3 0.015 22 8.88218e-71 -7.63085e-72
3 0.015 23 4.37642e-116 -3.64876e-117
3 0.015 24 4.792e-173 -3.88274e-174
3 0.015 25 1.16606e-241 -9.19408e-243
3 0.015 26 6.32404e-322 -4.94066e-323
3 0.015 27 0 0
3 0.015 28 0 0
3 0.015 29 0 0
3 0.015 30 0 0
3 0.015 31 0 0
3 0.015 32 0 0
3 0.015 33 0 0
3 0.015 34 0 0
3 0.015 35 0 0
3 0.015 36 0 0
3 0.015 37 0 0
3 0.015 38 0 0
3 0.015 39 0 0
3 0.015 40 0 0
3 0.015 41 0 0
3 0.015 42 0 0
3 0.015 43 0 0
3 0.015 44 0 0
3 0.015 45 0 0
3 0.015 46 0 0
3 0.015 47 0 0
3 0.015 48 0 0
3 0.015 49 0 0
4 0.02 0 -5.95992e-34 -1.09338e-33
4 0.02 1 6.71808e-33 1.57291e-32
4 0.02 2 -1.31846e-31 -3.41895e-31
4 0.02 3 3.56582e-30 9.59433e-30
4 0.02 4 -1.18638e-28 -3.25467e-28
4 0.02 5 4.57602e-27 1.27031e-26
4 0.02 6 -1.96799e-25 -5.5055e-25
4 0.02 7 9.1648e-24 2.57711e-23
4 0.02 8 -4.51055e-22 -1.27256e-21
4 0.02 9 2.29473e-20 6.48612e-20
4 0.02 10 -1.18065e-18 -3.33885e-18
4 0.02 11 6.00081e-17 1.69547e-16
4 0.02 12 -2.93237e-15 -8.26332e-15
4 0.02 13 1.33188e-13 3.7342e-13
4 0.02 14 -5.37046e-12 -1.49208e-11
4 0.02 15 1.79165e-10 4.89335e-10
4 0.02 16 -4.32013e-09 -1.13462e-08
4 0.02 17 4.74484e-08 1.03067e-07
4 0.02 18 8.90614e-06 1.1352e-05
4 0.02 19 8.83085e-05 -1.1066e-05
4 0.02 20 3.96701e-15 -4.80113e-16
4 0.02 21 3.95989e-37 -4.63719e-38
4 0.02 22 8.78359e-71 -9.96929e-72
4 0.02 23 4.32951e-116 -4.77001e-117
4 0.02 24 4.74231e-173 -5.07893e-174
4 0.02 25 1.15434e-241 -1.20332e-242
4 0.02 26 6.22523e-322 -6.42285e-323
4 0.02 27 0 0
4 0.02 28 0 0
4 0.02 29 0 0
4 0.02 30 0 0
4 0.02 31 0 0
4 0.02 32 0 0
4 0.02 33 0 0
4 0.02 34 0 0
4 0.02 35 0 0
4 0.02 36 0 0
4 0.02 37 0 0
4 0.02 38 0 0
4 0.02 39 0 0
4 0.02 40 0 0
4 0.02 41 0 0
4 0.02 42 0 0
4 0.02 43 0 0
4 0.02 44 0 0
4 0.02 45 0 0
4 0.02 46 0 0
4 0.02 47 0 0
4 0.02 48 0 0
4 0.02 49 0 0
5 0.025 0 -1.00099e-32 -1.76107e-32
5 0.025 1 1.04699e-31 2.3891e-31
5 0.025 2 -1.86097e-30 -4.74478e-30
5 0.025 3 4.51403e-29 1.19819e-28
5 0.025 4 -1.33581e-27 -3.6213e-27
5 0.025 5 4.5455e-26 1.24804e-25
5 0.025 6 -1.71009e-24 -4.73378e-24
5 0.025 7 6.9045e-23 1.92134e-22
5 0.025 8 -2.91794e-21 -8.1455e-21
5 0.025 9 1.26156e-19 3.52669e-19
5 0.025 10 -5.45436e-18 -1.52442e-17
5 0.025 11 2.30129e-16 6.4188e-16
5 0.025 12 -9.21059e-15 -2.55798e-14
5 0.025 13 3.37435e-13 9.29947e-13
5 0.025 14 -1.07625e-11 -2.92606e-11
5 0.025 15 2.74972e-10 7.2796e-10
5 0.025 16 -4.6361e-09 -1.14139e-08
5 0.025 17 1.01234e-08 -1.23988e-08
5 0.025 18 1.00761e-05 1.39847e-05
5 0.025 19 8.71761e-05 -1.35207e-05
5 0.025 20 3.91825e-15 -5.87121e-16
5 0.025 21 3.91312e-37 -5.67517e-38
5 0.025 22 8.68367e-71 -1.22095e-71
5 0.025 23 4.28198e-116 -5.84571e-117
5 0.025 24 4.69198e-173 -6.22805e-174
5 0.025 25 1.14247e-241 -1.4764e-242
5 0.025 26 6.17582e-322 -7.90505e-323
5 0.025 27 0 0
5 0.025 28 0 0
5 0.025 29 0 0
5 0.025 30 0 0
5 0.025 31 0 0
5 0.025 32 0 0
5 0.025 33 0 0
5 0.025 34 0 0
5 0.025 35 0 0
5 0.025 36 0 0
5 0.025 37 0 0
5 0.025 38 0 0
5 0.025 39 0 0
5 0.025 40 0 0
5 0.025 41 0 0
5 0.025 42 0 0
5 0.025 43 0 0
5 0.025 44 0 0
5 0.025 45 0 0
5 0.025 46 0 0
5 0.025 47 0 0
5 0.025 48 0 0
5 0.025 49 0 0
6 0.03 0 -1.13892e-31 -1.91942e-31
6 0.03 1 1.11427e-30 2.47498e-30
6 0.03 2 -1.80562e-29 -4.5218e-29
6 0.03 3 3.95515e-28 1.03478e-27
6 0.03 4 -1.04903e-26 -2.80802e-26
6 0.03 5 3.17688e-25 8.62083e-25
6 0.03 6 -1.05619e-23 -2.89091e-23
6 0.03 7 3.74109e-22 1.02949e-21
6 0.03 8 -1.37651e-20 -3.79926e-20
6 0.03 9 5.13995e-19 1.42002e-18
6 0.03 10 -1.9029e-17 -5.25183e-17
6 0.03 11 6.81094e-16 1.87364e-15
6 0.03 12 -2.28804e-14 -6.25509e-14
6 0.03 13 6.94185e-13 1.87729e-12
6 0.03 14 -1.79608e-11 -4.76295e-11
6 0.03 15 3.5564e-10 9.04198e-10
6 0.03 16 -3.81285e-09 -8.18135e-09
6 0.03 17 -4.48706e-08 -1.70866e-07
6 0.03 18 1.12768e-05 1.65294e-05
6 0.03 19 8.60295e-05 -1.58579e-05
6 0.03 20 3.86889e-15 -6.89207e-16
6 0.03 21 3.86578e-37 -6.66719e-38
6 0.03 22 8.58255e-71 -1.43541e-71
6 0.03 23 4.23389e-116 -6.87701e-117
6 0.03 24 4.64106e-173 -7.33125e-174
6 0.03 25 1.13047e-241 -1.73889e-242
6 0.03 26 6.12641e-322 -8.89318e-323
6 0.03 27 0 0
6 0.03 28 0 0
6 0.03 29 0 0
6 0.03 30 0 0
6 0.03 31 0 0
6 0.03 32 0 0
6 0.03 33 0 0
6 0.03 34 0 0
6 0.03 35 0 0
6 0.03 36 0 0
6 0.03 37 0 0
6 0.03 38 0 0
6 0.03 39 0 0
6 0.03 40 0 0
6 0.03 41 0 0
6 0.03 42 0 0
6 0.03 43 0 0
6 0.03 44 0 0
6 0.03 45 0 0
6 0.03 46 0 0
6 0.03 47 0 0
6 0.03 48 0 0
6 0.03 49 0 0
7 0.035 0 -9.52542e-31 -1.53666e-30
7 0.035 1 8.7899e-30 1.89847e-29
7 0.035 2 -1.30752e-28 -3.21334e-28
7 0.035 3 2.60471e-27 6.71185e-27
7 0.035 4 -6.24014e-26 -1.64816e-25
7 0.035 5 1.69646e-24 4.54688e-24
7 0.035 6 -5.03307e-23 -1.36131e-22
7 0.035 7 1.58138e-21 4.30077e-21
7 0.035 8 -5.12965e-20 -1.39897e-19
7 0.035 9 1.67774e-18 4.57763e-18
7 0.035 10 -5.40266e-17 -1.47129e-16
