# requested_x_cm 0.5
# actual_x_cm 0.5
# y_cm z_cm dose
-0.5 -0.5 2.70332e-12
-0.375 -0.5 3.91607e-10
-0.25 -0.5 1.92626e-08
-0.125 -0.5 1.99655e-07
0 -0.5 4.35823e-07
0.125 -0.5 1.99653e-07
0.25 -0.5 1.92595e-08
0.375 -0.5 3.98342e-10
0.5 -0.5 4.57368e-12

-0.5 -0.375 3.91607e-10
-0.375 -0.375 9.13912e-08
-0.25 -0.375 4.56446e-06
-0.125 -0.375 4.73371e-05
0 -0.375 0.000103337
0.125 -0.375 4.73371e-05
0.25 -0.375 4.56443e-06
0.375 -0.375 9.1422e-08
0.5 -0.375 4.08578e-10

-0.5 -0.25 1.92626e-08
-0.375 -0.25 4.56446e-06
-0.25 -0.25 0.000228051
-0.125 -0.25 0.0023651
0 -0.25 0.00516303
0.125 -0.25 0.0023651
0.25 -0.25 0.00022805
0.375 -0.25 4.56451e-06
0.5 -0.25 1.93217e-08

-0.5 -0.125 1.99655e-07
-0.375 -0.125 4.73371e-05
-0.25 -0.125 0.0023651
-0.125 -0.125 0.0245283
0 -0.125 0.0535454
0.125 -0.125 0.0245283
0.25 -0.125 0.0023651
0.375 -0.125 4.73372e-05
0.5 -0.125 1.99745e-07

-0.5 0 4.35823e-07
-0.375 0 0.000103337
-0.25 0 0.00516303
-0.125 0 0.0535454
0 0 0.11689
0.125 0 0.0535454
0.25 0 0.00516303
0.375 0 0.000103337
0.5 0 4.35932e-07

-0.5 0.125 1.99653e-07
-0.375 0.125 4.73371e-05
-0.25 0.125 0.0023651
-0.125 0.125 0.0245283
0 0.125 0.0535454
0.125 0.125 0.0245283
0.25 0.125 0.0023651
0.375 0.125 4.73372e-05
0.5 0.125 1.99743e-07

-0.5 0.25 1.92595e-08
-0.375 0.25 4.56443e-06
-0.25 0.25 0.00022805
-0.125 0.25 0.0023651
0 0.25 0.00516303
0.125 0.25 0.0023651
0.25 0.25 0.00022805
0.375 0.25 4.56448e-06
0.5 0.25 1.93191e-08

-0.5 0.375 3.98342e-10
-0.375 0.375 9.1422e-08
-0.25 0.375 4.56451e-06
-0.125 0.375 4.73372e-05
0 0.375 0.000103337
0.125 0.375 4.73372e-05
0.25 0.375 4.56448e-06
0.375 0.375 9.1452e-08
0.5 0.375 4.15705e-10

-0.5 0.5 4.57368e-12
-0.375 0.5 4.08578e-10
-0.25 0.5 1.93217e-08
-0.125 0.5 1.99745e-07
0 0.5 4.35932e-07
0.125 0.5 1.99743e-07
0.25 0.5 1.93191e-08
0.375 0.5 4.15705e-10
0.5 0.5 6.49464e-12

