# requested_x_cm 3.5
# actual_x_cm 3.5
# y_cm z_cm dose
-0.5 -0.5 1.30302e-06
-0.375 -0.5 4.34876e-06
-0.25 -0.5 2.38483e-05
-0.125 -0.5 0.000193812
0 -0.5 0.000416311
0.125 -0.5 0.000193812
0.25 -0.5 2.38487e-05
0.375 -0.5 4.34869e-06
0.5 -0.5 1.30299e-06

-0.5 -0.375 4.34876e-06
-0.375 -0.375 1.44532e-05
-0.25 -0.375 7.93018e-05
-0.125 -0.375 0.000644915
0 -0.375 0.00138542
0.125 -0.375 0.000644916
0.25 -0.375 7.93026e-05
0.375 -0.375 1.44532e-05
0.5 -0.375 4.34867e-06

-0.5 -0.25 2.38483e-05
-0.375 -0.25 7.93018e-05
-0.25 -0.25 0.00043666
-0.125 -0.25 0.00355896
0 -0.25 0.00764706
0.125 -0.25 0.00355896
0.25 -0.25 0.000436661
0.375 -0.25 7.93019e-05
0.5 -0.25 2.38482e-05

-0.5 -0.125 0.000193812
-0.375 -0.125 0.000644915
-0.25 -0.125 0.00355896
-0.125 -0.125 0.029035
0 -0.125 0.0623921
0.125 -0.125 0.029035
0.25 -0.125 0.00355896
0.375 -0.125 0.000644916
0.5 -0.125 0.000193812

-0.5 0 0.000416311
-0.375 0 0.00138542
-0.25 0 0.00764706
-0.125 0 0.0623921
0 0 0.134073
0.125 0 0.0623921
0.25 0 0.00764706
0.375 0 0.00138542
0.5 0 0.000416311

-0.5 0.125 0.000193812
-0.375 0.125 0.000644916
-0.25 0.125 0.00355896
-0.125 0.125 0.029035
0 0.125 0.0623921
0.125 0.125 0.029035
0.25 0.125 0.00355896
0.375 0.125 0.000644916
0.5 0.125 0.000193812

-0.5 0.25 2.38487e-05
-0.375 0.25 7.93026e-05
-0.25 0.25 0.000436661
-0.125 0.25 0.00355896
0 0.25 0.00764706
0.125 0.25 0.00355896
0.25 0.25 0.000436662
0.375 0.25 7.93027e-05
0.5 0.25 2.38486e-05

-0.5 0.375 4.34869e-06
-0.375 0.375 1.44532e-05
-0.25 0.375 7.93019e-05
-0.125 0.375 0.000644916
0 0.375 0.00138542
0.125 0.375 0.000644916
0.25 0.375 7.93027e-05
0.375 0.375 1.44532e-05
0.5 0.375 4.34861e-06

-0.5 0.5 1.30299e-06
-0.375 0.5 4.34867e-06
-0.25 0.5 2.38482e-05
-0.125 0.5 0.000193812
0 0.5 0.000416311
0.125 0.5 0.000193812
0.25 0.5 2.38486e-05
0.375 0.5 4.34861e-06
0.5 0.5 1.30296e-06

