Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.01 GiB
  Estimated current peak: 0.22 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.61 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 2000x8x8, Energy: 500, Angle: 7x7
Step 100, t = 2/40, IDD = 0.00442115
Step 200, t = 4/40, IDD = 0.00697729
Step 300, t = 6/40, IDD = 1.75887e-15
Step 400, t = 8/40, IDD = 1.99624e-35
Step 500, t = 10/40, IDD = 2.38168e-55
Step 600, t = 12/40, IDD = 2.76937e-75
Step 700, t = 14/40, IDD = 3.2243e-95
Step 800, t = 16/40, IDD = 3.76185e-115
Step 900, t = 18/40, IDD = 4.39451e-135
Step 1000, t = 20/40, IDD = 5.13703e-155
Step 1100, t = 22/40, IDD = 6.00717e-175
Step 1200, t = 24/40, IDD = 7.02603e-195
Step 1300, t = 26/40, IDD = 8.21853e-215
Step 1400, t = 28/40, IDD = 9.61392e-235
Step 1500, t = 30/40, IDD = 1.12466e-254
Step 1600, t = 32/40, IDD = 1.31566e-274
Step 1700, t = 34/40, IDD = 1.53912e-294
Step 1800, t = 36/40, IDD = 1.80056e-314
Step 1900, t = 38/40, IDD = 1.65319e-319
Step 2000, t = 40/40, IDD = 1.66342e-319
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
